split,fruit,quality,file_name,rel_path
train,dragonfruit,medium,dragonfruit_m_1_10.jpg,train/dragonfruit/medium/dragonfruit_m_1_10.jpg
train,lemon,medium,lemon_m_1_31.jpg,train/lemon/medium/lemon_m_1_31.jpg
train,lychee,bad,lychee_b_317.jpg,train/lychee/bad/lychee_b_317.jpg
train,guava,medium,guava_m_3_1317.jpg,train/guava/medium/guava_m_3_1317.jpg
train,lemon,good,lemon_g_2_919.jpg,train/lemon/good/lemon_g_2_919.jpg
train,star_fruit,good,star_fruit_g_29.jpg,train/star_fruit/good/star_fruit_g_29.jpg
train,star_fruit,good,star_fruit_g_358.jpg,train/star_fruit/good/star_fruit_g_358.jpg
train,mango,bad,mango_b_187.jpg,train/mango/bad/mango_b_187.jpg
train,lemon,bad,lemon_b_2_39.jpg,train/lemon/bad/lemon_b_2_39.jpg
train,pineapple,bad,pineapple_b_401.jpg,train/pineapple/bad/pineapple_b_401.jpg
train,jackfruit,medium,jackfruit_m_46.jpg,train/jackfruit/medium/jackfruit_m_46.jpg
train,banana,bad,banana_b_1_298.jpg,train/banana/bad/banana_b_1_298.jpg
train,custard_apple,bad,custard_apple_b_1_362.jpg,train/custard_apple/bad/custard_apple_b_1_362.jpg
train,star_fruit,good,star_fruit_g_80.jpg,train/star_fruit/good/star_fruit_g_80.jpg
train,jackfruit,medium,jackfruit_m_22.jpg,train/jackfruit/medium/jackfruit_m_22.jpg
train,jackfruit,bad,jackfruit_b_176.jpg,train/jackfruit/bad/jackfruit_b_176.jpg
train,dragonfruit,medium,dragonfruit_m_1_289.jpg,train/dragonfruit/medium/dragonfruit_m_1_289.jpg
train,star_fruit,good,star_fruit_g_255.jpg,train/star_fruit/good/star_fruit_g_255.jpg
train,sapodilla,good,sofeda_g_243.jpg,train/sapodilla/good/sofeda_g_243.jpg
train,banana,bad,banana_b_1_278.jpg,train/banana/bad/banana_b_1_278.jpg
train,jujube,good,jujube_g_1_538.jpg,train/jujube/good/jujube_g_1_538.jpg
train,banana,bad,banana_b_1_319.jpg,train/banana/bad/banana_b_1_319.jpg
train,jackfruit,bad,jackfruit_b_385.jpg,train/jackfruit/bad/jackfruit_b_385.jpg
train,custard_apple,good,custard_apple_g_1_438.jpg,train/custard_apple/good/custard_apple_g_1_438.jpg
train,lychee,good,lychee_g_35.jpg,train/lychee/good/lychee_g_35.jpg
train,sapodilla,medium,sofeda_m_291.jpg,train/sapodilla/medium/sofeda_m_291.jpg
train,lemon,bad,lemon_b_1_841.jpg,train/lemon/bad/lemon_b_1_841.jpg
train,jujube,good,jujube_g_1_44.jpg,train/jujube/good/jujube_g_1_44.jpg
train,guava,good,guava_g_3_839.jpg,train/guava/good/guava_g_3_839.jpg
train,guava,good,guava_g_4_1111.jpg,train/guava/good/guava_g_4_1111.jpg
train,lychee,medium,lychee_m_257.jpg,train/lychee/medium/lychee_m_257.jpg
train,custard_apple,bad,custard_apple_b_1_170.jpg,train/custard_apple/bad/custard_apple_b_1_170.jpg
train,pineapple,medium,pineapple_m_076.jpg,train/pineapple/medium/pineapple_m_076.jpg
train,sapodilla,medium,sofeda_m_202.jpg,train/sapodilla/medium/sofeda_m_202.jpg
train,lychee,medium,lychee_m_359.jpg,train/lychee/medium/lychee_m_359.jpg
train,pineapple,bad,pineapple_b_422.jpg,train/pineapple/bad/pineapple_b_422.jpg
train,custard_apple,medium,custard_apple_m_1_143.jpg,train/custard_apple/medium/custard_apple_m_1_143.jpg
train,banana,medium,banana_m_1_125.jpg,train/banana/medium/banana_m_1_125.jpg
train,jujube,medium,jujube_m_1_445.jpg,train/jujube/medium/jujube_m_1_445.jpg
train,papaya,bad,papaya_b_1_20.jpg,train/papaya/bad/papaya_b_1_20.jpg
train,lychee,medium,lychee_m_145.jpg,train/lychee/medium/lychee_m_145.jpg
train,sapodilla,bad,sofeda_b_446.jpg,train/sapodilla/bad/sofeda_b_446.jpg
train,star_fruit,bad,star_fruit_b_284.jpg,train/star_fruit/bad/star_fruit_b_284.jpg
train,lemon,bad,lemon_b_1_840.jpg,train/lemon/bad/lemon_b_1_840.jpg
train,custard_apple,medium,custard_apple_m_1_321.jpg,train/custard_apple/medium/custard_apple_m_1_321.jpg
train,papaya,bad,papaya_b_2_175.jpg,train/papaya/bad/papaya_b_2_175.jpg
train,dragonfruit,good,dragonfruit_g_1_543.jpg,train/dragonfruit/good/dragonfruit_g_1_543.jpg
